Namespace,Pod Name,Container Name,SP HttpGet,SP FailureThreshold,SP InitialDelaySeconds,SP PeriodSeconds,SP SuccessThreshold,SP TimeoutSeconds,LP HttpGet,LP FailureThreshold,LP InitialDelaySeconds,LP PeriodSeconds,LP SuccessThreshold,LP TimeoutSeconds,RP HttpGet,RP FailureThreshold,RP InitialDelaySeconds,RP PeriodSeconds,RP SuccessThreshold,RP TimeoutSeconds
empwr-training,bip-ms-rcvbl-offset-training-5bc56b7f49-lghzm,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-training,bip-ms-rcvbl-offset-training-5bc56b7f49-sb4z7,bip-ms-rcvbl-offset, , , , , , ,/app-health/bip-ms-rcvbl-offset/livez,5,720,30,1,60, , , , , , 
empwr-training,bip-ms-rcvbl-offset-training-5bc56b7f49-sb4z7,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-training,bip-ms-rcvbl-offset-training-5bc56b7f49-sb4z7,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-training,bip-ms-reports-training-645f888979-g6q6s,bip-ms-reports, , , , , , ,/app-health/bip-ms-reports/livez,5,720,30,1,60,/app-health/bip-ms-reports/readyz,5,300,30,1,60
empwr-training,bip-ms-reports-training-645f888979-g6q6s,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-training,bip-ms-reports-training-645f888979-g6q6s,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-training,bip-ms-srch-ptcpnt-training-69b7b7fd7b-9hvn2,bip-ms-srch-ptcpnt, , , , , , ,/app-health/bip-ms-srch-ptcpnt/livez,5,720,30,1,60, , , , , , 
empwr-training,bip-ms-srch-ptcpnt-training-69b7b7fd7b-9hvn2,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-training,bip-ms-srch-ptcpnt-training-69b7b7fd7b-9hvn2,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-training,bip-ms-sumry-inqry-training-68d57879d7-4b8z8,bip-ms-sumry-inqry, , , , , , ,/app-health/bip-ms-sumry-inqry/livez,5,720,30,1,60, , , , , , 
empwr-training,bip-ms-sumry-inqry-training-68d57879d7-4b8z8,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-training,bip-ms-sumry-inqry-training-68d57879d7-4b8z8,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-training,bip-ms-tran-detail-training-549c47cf45-xcmtj,bip-ms-tran-detail, , , , , , ,/app-health/bip-ms-tran-detail/livez,5,720,30,1,60, , , , , , 
empwr-training,bip-ms-tran-detail-training-549c47cf45-xcmtj,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-training,bip-ms-tran-detail-training-549c47cf45-xcmtj,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-training,bip-ms-validation-info-training-6ddf975747-twj7j,bip-ms-validation-info, , , , , , ,/app-health/bip-ms-validation-info/livez,5,720,30,1,60, , , , , , 
empwr-training,bip-ms-validation-info-training-6ddf975747-twj7j,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-training,bip-ms-validation-info-training-6ddf975747-twj7j,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-training,bip-sf-db-data-transfer-training-86775f4988-7j9hk,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-training,bip-sf-db-data-transfer-training-86775f4988-7j9hk,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-claimevidence-ui-uat-854859c6d4-fhmjp,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-claimevidence-ui-uat-854859c6d4-fhmjp,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-empwr-help-desk-uat-697f9d8cd7-qkr67,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-empwr-help-desk-uat-697f9d8cd7-qkr67,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-ext-busns-tran-commit-uat-66689456bb-4qtjf,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-ext-busns-tran-commit-uat-66689456bb-4qtjf,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-inquiry-api-uat-b465bc55f-pxh47,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-inquiry-api-uat-b465bc55f-pxh47,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
